_id,AC No,AC Name,Sl no,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Vote Share
1198,105,BHATPARA,2,ASH NARAYAN SINGH,Communist Party of India (Marxist),2925,44,2969,2.79
1199,105,BHATPARA,3,DHARMENDRA SHAW,Indian National Congress,433,6,439,0.41
1200,105,BHATPARA,4,PAWAN KUMAR SINGH,Bharatiya Janata Party,61277,406,61683,58.02
1201,105,BHATPARA,5,SADANANDA RAJAK,Bahujan Samaj Party,396,1,397,0.37
1202,105,BHATPARA,6,SUJIT BOSE,Socialist Unity Centre Of India (COMMUNIST),245,1,246,0.23
1203,105,BHATPARA,7,ABDULLAH KHAN SAHEB,Independent,444,0,444,0.42
1204,105,BHATPARA,8,GAURAB PRASAD,Independent,121,1,122,0.11
1205,105,BHATPARA,9,PAWAN KUMAR SINGH,Independent,195,4,199,0.19
1206,105,BHATPARA,10,NOTA,None of the Above,930,9,939,0.88
1207,106,JAGATDAL,1,KANIKA PATRA,Bahujan Samaj Party,538,8,546,0.3
1208,106,JAGATDAL,2,PARVEZ AHMAD KHAN,All India Forward Bloc,8932,130,9062,4.95
1209,106,JAGATDAL,3,MANDIRA CHAKRABORTY,Indian National Congress,1218,22,1240,0.68
1210,106,JAGATDAL,4,DR. RAJESH KUMAR,Bharatiya Janata Party,93541,810,94351,51.5
1211,106,JAGATDAL,5,SOMENATH SHYAM ICHINI,All India Trinamool Congress,72958,484,73442,40.09
1212,106,JAGATDAL,6,PRANAB CHOWDHURY,Socialist Unity Centre Of India (COMMUNIST),508,3,511,0.28
1213,106,JAGATDAL,7,SHEO PRASAD TIWARI,Bharatiya Rashtriya Forward Bloc,219,0,219,0.12
1214,106,JAGATDAL,8,PRAMOD SINGH,Independent,158,0,158,0.09
1215,106,JAGATDAL,9,BULA ADHIKARY,Independent,230,1,231,0.13
1216,106,JAGATDAL,10,RAJESH THAKUR,Independent,1042,3,1045,0.57
1217,106,JAGATDAL,11,SHARMISTHA DAS,Independent,700,1,701,0.38
1218,106,JAGATDAL,12,SUVAMAY PAN,Independent,394,10,404,0.22
1219,106,JAGATDAL,13,SOMENATH MITRA,Independent,311,0,311,0.17
1220,106,JAGATDAL,14,NOTA,None of the Above,943,29,972,0.53
1221,107,NOAPARA,1,ARJUN SINGH,Bharatiya Janata Party,93483,932,94415,48.37
1222,107,NOAPARA,2,ASOKE BHATTACHARYA,Indian National Congress,1885,37,1922,0.98
1223,107,NOAPARA,3,GARGI CHATTERJEE,Communist Party of India (Marxist),17394,302,17696,9.07
1224,107,NOAPARA,4,TRINANKUR BHATTACHARJEE,All India Trinamool Congress,76112,647,76759,39.33
1225,107,NOAPARA,5,MINA MAJUMDAR,Bahujan Samaj Party,571,9,580,0.3
1226,107,NOAPARA,6,BIPLOB MITRA,Aam Janata Unnayan party,121,1,122,0.06
1227,107,NOAPARA,7,AMIT KUMAR SHAW,Independent,109,1,110,0.06
1228,107,NOAPARA,8,IZAHARUL HAQUE,Independent,123,0,123,0.06
1229,107,NOAPARA,9,JAYANTA KUMAR BANERJEE,Independent,120,1,121,0.06
1230,107,NOAPARA,10,BANTI RAJAK,Independent,125,0,125,0.06
1231,107,NOAPARA,11,VIKASH KUMAR RAM,Independent,118,0,118,0.06
1232,107,NOAPARA,12,BISHAL KUMAR MANDAL,Independent,258,2,260,0.13
1233,107,NOAPARA,13,MAQSUD HASAN,Independent,874,1,875,0.45
1234,107,NOAPARA,14,SUPRIYO DEY,Independent,358,0,358,0.18
1235,107,NOAPARA,15,HRIDAY KANT PATHAK,Independent,221,0,221,0.11
1236,107,NOAPARA,16,NOTA,None of the Above,1351,21,1372,0.7
1237,108,BARRACKPUR,1,KAUSTUV BAGCHI,Bharatiya Janata Party,77559,907,78466,50.65
1238,108,BARRACKPUR,2,RAJ CHAKRABORTY (RAJU),All India Trinamool Congress,62093,551,62644,40.44
1239,108,BARRACKPUR,3,SAMBHU DAS,Indian National Congress,1166,36,1202,0.78
1240,108,BARRACKPUR,4,SUMAN RANJAN BANDYOPADHYAY,Communist Party of India (Marxist),10011,186,10197,6.58
1241,108,BARRACKPUR,5,AMAL KUMAR SEN,Socialist Unity Centre Of India (COMMUNIST),149,3,152,0.1
1242,108,BARRACKPUR,6,ZAKIR HUSSAIN,Aam Janata Unnayan party,125,0,125,0.08
1243,108,BARRACKPUR,7,RAJDEEP ROY,Independent,139,0,139,0.09
1244,108,BARRACKPUR,8,SAMIR KUNDU,Independent,221,3,224,0.14
1245,108,BARRACKPUR,9,SAROJ SHARMA,Independent,572,0,572,0.37
1246,108,BARRACKPUR,10,NOTA,None of the Above,1165,32,1197,0.77
1247,109,KHARDAHA,1,KALYAN CHAKRABORTI,Bharatiya Janata Party,97053,699,97752,49.75
1248,109,KHARDAHA,2,JAYDEB GHOSH,Indian National Congress,1536,23,1559,0.79
1249,109,KHARDAHA,3,TAPAS BAR,Bahujan Samaj Party,480,8,488,0.25
1250,109,KHARDAHA,4,DEBAJYOTI DAS (SUBHO),Communist Party of India (Marxist),19666,152,19818,10.09
